year,january ,February,March,April ,May,June,July,August,September,October,November,December,yearly Max.,Month of Flooding
1976,1.450,1.420,1.680,2.070,2.220,2.040,3.680,4.180,3.455,2.170,3.380,1.530,4.180,August
1977,1.450,1.460,1.670,2.090,1.890,2.970,2.710,2.290,3.090,2.080,1.360,1.460,3.090,September
1978,1.400,1.580,1.800,1.900,3.230,2.060,2.440,2.460,2.080,2.000,2.280,1.640,3.230,May
1979,1.600,1.760,1.980,2.040,2.260,2.315,2.595,3.305,2.065,2.165,1.945,2.005,3.305,August
1980,1.505,1.905,2.185,2.135,1.010,2.030,3.645,3.505,3.375,3.385,1.550,1.890,3.645,July
1981,1.700,1.785,2.635,2.590,2.600,2.480,3.740,3.044,3.750,3.490,2.600,1.580,3.750,September
1982,1.860,1.970,2.550,2.470,2.435,3.245,3.375,2.925,2.675,2.665,3.260,1.625,3.375,July
1983,1.805,1.925,2.445,2.375,2.865,2.985,2.915,3.310,3.215,1.980,2.765,1.525,3.310,August
1984,1.906,2.125,2.235,2.945,3.855,2.855,3.155,3.665,2.782,2.782,2.370,1.320,3.855,May
1985,1.135,1.225,1.155,2.340,2.290,2.565,2.715,3.395,4.085,2.110,1.210,1.870,4.085,September
1986,1.230,1.430,2.800,2.360,3.370,2.800,2.880,3.310,2.240,3.050,2.950,2.300,3.370,May
1987,1.320,2.240,2.240,2.430,3.250,3.325,3.245,3.084,2.890,3.260,2.700,1.971,3.325,June
1988,2.190,2.081,2.091,2.501,3.461,2.541,2.641,2.381,2.941,3.361,2.651,1.541,3.461,May
1989,2.741,2.421,2.321,2.221,2.321,2.521,2.561,2.378,2.561,2.978,2.688,2.981,2.981,December
1990,2.541,1.705,2.565,2.475,2.834,2.486,2.266,2.476,2.366,1.176,1.176,2.586,2.834,May
1991,1.970,1.806,2.261,2.301,2.351,2.120,1.860,2.311,2.221,1.821,2.171,2.191,2.351,May
1992,1.871,2.371,2.291,2.321,2.301,2.201,2.301,2.341,2.792,2.880,1.181,2.181,2.880,October
1993,1.975,1.355,1.826,1.975,1.801,1.792,1.922,3.225,2.685,2.645,2.365,2.245,3.225,August
1994,1.465,2.025,2.545,2.675,2.645,4.215,2.745,4.215,5.225,2.695,2.875,2.565,5.225,September
1995,1.185,1.345,1.514,2.798,5.065,4.010,4.215,4.110,2.740,2.748,2.745,2.745,5.065,May
1996,2.645,2.455,2.595,2.695,2.625,1.945,4.211,5.385,2.540,4.860,2.790,2.440,5.385,August
1997,2.345,2.246,2.695,2.596,4.382,2.745,4.215,6.385,3.810,2.945,2.214,1.574,6.385,August
1998,1.660,2.140,2.147,2.645,4.015,4.685,4.685,6.055,5.355,4.690,4.690,2.945,6.055,August
1999,2.940,2.945,3.374,4.055,4.690,5.355,5.355,5.355,4.690,5.964,2.945,3.370,5.964,October
2000,1.532,3.445,3.915,3.915,4.505,4.505,4.505,5.355,4.505,4.505,4.505,2.945,5.355,August
2001,2.945,3.446,3.445,3.915,4.505,4.505,5.355,5.385,4.010,4.505,3.915,2.945,5.385,August
2002,2.965,2.960,3.470,3.950,4.520,4.990,4.750,5.535,5.510,4.750,3.950,3.470,5.535,August
2003,2.960,2.960,3.470,3.950,5.510,4.990,5.240,5.240,5.240,4.990,3.470,3.950,5.510,May
2004,1.660,2.940,3.470,3.470,4.750,4.550,4.990,5.220,5.240,4.750,2.960,1.660,5.240,September
2005,2.960,2.960,3.470,3.950,4.520,4.750,5.210,5.220,5.240,4.750,4.520,3.470,5.240,September
2006,2.960,2.960,3.470,3.950,3.470,3.950,4.990,5.355,4.750,4.580,3.470,2.960,5.355,August
2002,2.960,2.960,3.950,3.950,5.240,4.750,4.680,4.750,4.680,4.380,3.470,2.960,5.240,May
2008,2.960,2.960,2.960,3.950,4.750,4.520,4.750,4.990,5.890,4.520,2.960,2.960,5.890,September
2009,2.960,2.950,3.465,3.940,4.780,4.520,4.780,5.010,4.990,4.780,2.950,3.465,5.010,August
2010,3.465,2.940,3.465,3.465,5.010,4.780,4.680,4.780,5.010,5.250,3.465,2.950,5.250,October
2011,3.940,3.465,4.520,4.780,5.250,5.285,5.010,5.250,5.250,4.550,2.950,4.780,5.285,June
2012,3.940,3.465,3.940,4.780,4.520,5.250,4.780,5.285,5.250,4.680,4.520,3.465,5.285,August
2013,3.465,3.465,4.520,4.775,5.010,5.250,5.510,5.250,5.060,4.680,3.930,3.930,5.510,July
2014,3.465,3.465,3.465,4.520,4.775,5.260,5.510,5.010,4.680,5.750,3.465,3.465,5.750,October
2015,3.465,3.465,3.465,3.930,4.520,3.930,5.510,5.010,4.680,5.750,2.945,2.545,5.750,October
2016,2.945,2.945,3.465,3.930,4.520,4.520,4.680,4.550,4.550,4.550,3.930,3.465,4.680,July
2017,2.945,3.360,3.770,3.770,3.770,4.520,4.380,4.680,4.550,4.670,3.360,2.565,4.680,August
2018,2.565,2.565,2.565,3.360,4.525,4.380,5.165,4.520,4.215,4.550,2.565,3.360,5.165,July
2019,3.360,2.565,3.360,3.770,4.525,3.380,4.695,4.780,4.750,4.550,3.360,3.360,4.780,August
